"Observation","Cook_Distance","DFFITS","Hat_Value","Covariance_Ratio"
34,0.0116645120856104,-0.283917817360167,0.00951901464859465,0.909779855001614
50,0.0123767820030313,-0.294183640103429,0.00601213494347968,0.834914022402477
95,0.00863857732239675,-0.24361840620977,0.0107336751496499,0.948958282245504
148,0.0123386311997524,0.290748921897473,0.0202621562038737,0.977035642490494
200,0.00867759744665026,-0.24508291827494,0.00648457679760145,0.896725500846739
223,0.0130444177479361,-0.299328493771031,0.0164791575834195,0.956149390551518
228,0.0101843225551421,-0.264846590279908,0.0103499126273763,0.932240584050631
240,0.0115330386659046,-0.280971554260534,0.0212021014445959,0.984109269384418
249,0.0106460195642763,-0.271202046532689,0.0088378645090695,0.910924132270657
263,0.0136576322491097,-0.307999616666552,0.00860112316358141,0.877204448407817
303,0.00913326242475723,-0.250562899126709,0.0108341731082696,0.945562703547593
311,0.0127552268210816,-0.298225915263875,0.00685751346155208,0.852307223752749
339,0.0101736617604223,-0.265326952147832,0.00772616673895555,0.899875242061311
378,0.0124802570843403,-0.293630257120632,0.0103738328175247,0.912640604886233
389,0.0134341668072844,-0.305099700832155,0.00948778607706425,0.8929982412049
417,0.00847986308934268,-0.241189482145423,0.012159922160793,0.960339852072028
429,0.00885617117175991,-0.246311393967779,0.0148114776761123,0.972344584370224
441,0.00881138161762688,-0.245419388084389,0.0199909813491824,0.992550731325461
496,0.00806174105851419,-0.234696726399451,0.0197203451662265,0.995292974653136
