"Predictor","Adjusted_OR","CI_lower","CI_upper","P_value"
"Age",1.03236255675596,1.0219482574132,1.04330249234927,1.47426258913196e-09
"Diabetes",1.44938800131563,0.90758701503835,2.34557680242274,0.124667169221346
"Hypertension",2.1150532542826,1.35505247047234,3.35124368858724,0.00115899100436768
"Previous admissions",1.34227866254378,1.1896061076143,1.52044225766427,2.4760431759753e-06
"Length of stay",1.09542589650536,1.05716528918807,1.1365177726256,7.62712145473905e-07
"Emergency admission",1.74072125312762,1.15025702465517,2.64205745782835,0.00888400646066026
