"Predictor","Full_Model_OR","Sensitivity_OR","Full_Model_CI_Lower","Full_Model_CI_Upper","Sensitivity_CI_Lower","Sensitivity_CI_Upper","OR_Percent_Change"
"age",1.03236255675596,1.04756843758032,1.02176030948081,1.04307481774591,1.03470057108459,1.06059633297019,1.47292060573625
"diabetesYes",1.44938800131563,1.73551652150796,0.902484573242296,2.32771355948011,1.01466739248224,2.96847776793007,19.7413335789045
"hypertensionYes",2.1150532542826,3.88376054383732,1.34603935598625,3.32341714122743,2.25951648261653,6.67558571841029,83.6247165868473
"previous_admissions",1.34227866254378,1.47537960551024,1.1875305214449,1.51719216928263,1.28309270431171,1.69648301563933,9.91604401385785
"length_of_stay",1.09542589650536,1.14019237921661,1.05655750996242,1.1357241640138,1.09295557533315,1.18947072595093,4.08667376351663
"emergency_admissionYes",1.74072125312762,1.91482074269555,1.1492199371839,2.63666717139917,1.20953093851535,3.03137221207228,10.0015720067253
