"Predictor","OR","CI_Lower","CI_Upper","P_value","AIC"
"age",1.02703100019725,1.01736899993285,1.03678476092331,3.18977781358104e-08,617.497576747464
"diabetes",1.38164410696411,0.898924904397129,2.12358165734532,0.140451509288189,647.979326390525
"hypertension",1.83740388963723,1.22147425481384,2.76391666901613,0.00349615058808481,641.333477875032
"previous_admissions",1.23135333879096,1.10293658906471,1.37472186523198,0.000212580022904705,636.086343000067
"length_of_stay",1.07203279762137,1.0377776153921,1.10741868212457,2.69267401705206e-05,631.833862457305
"emergency_admission",1.6417356551511,1.12813409200484,2.38916276043436,0.00960217302098538,643.498669706784
